mol_name,label,center,mmff_angle,dft_angle,delta
phenol,C-H_C,C,119.94106345538154,120.40030138891595,0.45923793353441056
phenol,C-C_C,C,119.94638829008268,120.77501967926372,0.8286313891810408
phenol,C-H_C,C,120.12800529479499,120.00509084325536,-0.12291445153962854
phenol,C-H_C,C,119.92560641470581,119.21988947742048,-0.7057169372853309
phenol,C-C_C,C,119.66157652308179,119.5838237553871,-0.0777527676946903
phenol,C-H_C,C,120.30891819917633,121.4710804875368,1.162162288360463
phenol,C-H_C,C,120.02950527766411,118.9450957570154,-1.0844095206487196
piperidine,C-C_C,C,110.54676150408342,110.745796385389,0.1990348813055789
piperidine,C-H_C,C,109.4512210254799,109.12349231947668,-0.3277287060032137
piperidine,C-H_C,C,110.10347540523709,110.57409204780667,0.47061664256958124
piperidine,C-H_C,C,109.45131966316617,109.12345742539269,-0.32786223777348766
piperidine,C-H_C,C,110.1035084143536,110.57414113921205,0.4706327248584472
piperidine,H-H_C,C,107.11594463843048,106.59055342579173,-0.5253912126387519
piperidine,C-C_C,C,111.26564375254894,110.65337536700912,-0.6122683855398208
piperidine,C-H_C,C,109.39843254950802,109.6083273112799,0.20989476177187782
piperidine,C-H_C,C,109.7396704189809,110.64707484858187,0.9074044296009731
piperidine,C-H_C,C,109.57000855784258,108.54049420408435,-1.0295143537582305
piperidine,C-H_C,C,109.80396624011318,109.83680731270326,0.03284107259007385
piperidine,H-H_C,C,106.96410425957313,107.47479657267118,0.5106923130980476
piperidine,C-N_C,C,111.4719197217656,109.59881384286624,-1.8731058788993664
piperidine,C-H_C,C,110.2268272066677,108.77594369288701,-1.4508835137806955
piperidine,C-H_C,C,109.1109263686908,110.38828551369735,1.2773591450065567
piperidine,H-N_C,C,110.0684504196718,112.44773441676918,2.3792839970973745
piperidine,H-N_C,C,108.85207015058252,108.42147328034407,-0.43059687023844617
piperidine,H-H_C,C,106.99023262402511,107.18325527248388,0.19302264845876493
piperidine,C-C_N,N,111.46206732929114,112.0400140336782,0.5779467043870596
piperidine,C-H_N,N,109.25045449826276,109.633959377578,0.3835048793152396
piperidine,C-H_N,N,109.25045685704043,109.63398611465378,0.3835292576133469
piperidine,C-N_C,C,111.47199835242671,109.59883298772927,-1.8731653646974422
piperidine,H-N_C,C,110.06857421946391,112.44777492509199,2.3792007056280795
piperidine,H-N_C,C,108.85199985560017,108.42149601384217,-0.4305038417579965
piperidine,C-H_C,C,110.22676975827521,108.77592203741742,-1.4508477208577943
piperidine,C-H_C,C,109.11088655208403,110.38824884225853,1.2773622901745085
piperidine,H-H_C,C,106.99019080277095,107.18322898460784,0.19303818183688293
piperidine,C-C_C,C,111.2657412189071,110.65336303569639,-0.6123781832107085
piperidine,C-H_C,C,109.57002908023362,108.54049467018639,-1.0295344100472335
piperidine,C-H_C,C,109.8039313431924,109.83683290166016,0.03290155846775633
piperidine,C-H_C,C,109.39843778862199,109.6083063089201,0.20986852029811587
piperidine,C-H_C,C,109.73963645047776,110.64710523965982,0.9074687891820616
piperidine,H-H_C,C,106.96404375218593,107.47477247277806,0.5107287205921267
propane,C-H_C,C,111.0019144883287,111.11709665712807,0.11518216879937881
propane,C-H_C,C,110.27626392856473,111.5173155153957,1.241051586830963
propane,C-H_C,C,111.00197657687293,111.11708613418838,0.11510955731544925
propane,H-H_C,C,108.08461418017107,107.69985084460967,-0.3847633355614022
propane,H-H_C,C,108.28484874908742,107.5035919450638,-0.781256804023613
propane,H-H_C,C,108.08455086988894,107.69984297887915,-0.3847078910097963
propane,C-C_C,C,111.65870918163249,112.90921679525798,1.2505076136254871
propane,C-H_C,C,109.44594676007837,109.39700504581089,-0.04894171426748528
propane,C-H_C,C,109.44605166794628,109.39702456643562,-0.04902710151066003
propane,C-H_C,C,109.4459605565981,109.39700504581089,-0.04895551078720928
propane,C-H_C,C,109.44598117117116,109.39702456643562,-0.04895660473553676
propane,H-H_C,C,107.29663291840097,106.11665817250966,-1.1799747458913146
propane,C-H_C,C,110.2763006379915,111.5173155154051,1.2410148774136047
propane,C-H_C,C,111.00188653620755,111.11709665712807,0.11521012092052274
propane,C-H_C,C,111.0019190786232,111.11713196125294,0.11521288262973428
propane,H-H_C,C,108.08457175621162,107.69980659820297,-0.38476515800864775
propane,H-H_C,C,108.08455185854145,107.69984160093787,-0.38471025760357236
propane,H-H_C,C,108.28494076921997,107.50358901148778,-0.781351757732196
propionic_acid,C-H_C,C,111.04327023443213,110.98534016909854,-0.05793006533359346
propionic_acid,C-H_C,C,110.40273805764286,110.39279429354862,-0.009943764094245466
propionic_acid,C-H_C,C,111.04329711593962,110.98542419472406,-0.0578729212155622
propionic_acid,H-H_C,C,108.23725277731293,108.46405612088216,0.22680334356923026
propionic_acid,H-H_C,C,107.76415175335318,107.44323517965707,-0.3209165736961097
propionic_acid,H-H_C,C,108.2373116879293,108.46412447854419,0.22681279061488624
propionic_acid,C-C_C,C,111.81667295198524,112.84438922970557,1.0277162777203301
propionic_acid,C-H_C,C,109.43332714136695,111.52408354760398,2.090756406237034
propionic_acid,C-H_C,C,109.43342412958407,111.5240080518779,2.090583922293831
propionic_acid,C-H_C,C,108.48585074211552,107.59119376822586,-0.8946569738896528
propionic_acid,C-H_C,C,108.48598147615898,107.59148365620914,-0.8944978199498479
propionic_acid,H-H_C,C,109.14071989494191,105.37571498560506,-3.7650049093368523
propionic_acid,C-O_C,C,127.64761001537474,126.14454100061138,-1.503069014763355
propionic_acid,C-O_C,C,111.81750911639585,111.48029569644041,-0.3372134199554466
propionic_acid,O-O_C,C,120.53488086778948,122.37516293108118,1.8402820632916956
propionic_acid,C-H_O,O,103.94772221883207,105.9426982191833,1.9949760003512296
propylene,C-H_C,C,109.91566648594005,111.19315687915102,1.277490393210968
propylene,C-H_C,C,109.91567723792879,111.19315477663592,1.2774775387071315
propylene,C-H_C,C,112.1818434774899,111.50610230197464,-0.6757411755152702
propylene,H-H_C,C,108.3468434853937,106.54582916154384,-1.80101432384987
propylene,H-H_C,C,108.19007689686767,108.09918949828833,-0.09088739857934058
propylene,H-H_C,C,108.19015393298015,108.09913940188905,-0.0910145310911048
propylene,C-C_C,C,124.15215543228996,125.21708331874304,1.0649278864530771
propylene,C-H_C,C,116.69510718358968,115.90490124873898,-0.7902059348507038
propylene,C-H_C,C,119.15273738406107,118.87801543245908,-0.27472195160198964
propylene,C-H_C,C,121.75588197108493,121.64095830918842,-0.11492366189651193
propylene,C-H_C,C,120.75591398689127,121.83467683044135,1.0787628435500807
propylene,H-H_C,C,117.48820404171882,116.52436486029717,-0.9638391814216476
propyne,C-H_C,C,110.8274091046323,111.2072847890082,0.3798756843759037
propyne,C-H_C,C,110.82738608237106,111.20776162443488,0.38037554206381685
propyne,C-H_C,C,110.82737565040942,111.20468321025808,0.37730755984865993
propyne,H-H_C,C,108.08161498276075,107.68094126900893,-0.4006737137518286
propyne,H-H_C,C,108.08170363293289,107.68184260749527,-0.39986102543761604
propyne,H-H_C,C,108.08167336145107,107.68170706700967,-0.3999662944413984
